2014/09/25 16:35:52 msgCount/second 0
2014/09/25 16:35:53 msgCount/second 0
2014/09/25 16:35:54 msgCount/second 0
2014/09/25 16:35:55 msgCount/second 0
2014/09/25 16:35:56 msgCount/second 0
2014/09/25 16:35:57 msgCount/second 0
2014/09/25 16:35:58 server: new client
2014/09/25 16:35:58 server: new client
2014/09/25 16:35:58 msgCount/second 0
2014/09/25 16:35:59 msgCount/second 0
2014/09/25 16:36:00 msgCount/second 0
2014/09/25 16:36:01 msgCount/second 0
2014/09/25 16:36:02 msgCount/second 0
2014/09/25 16:36:03 msgCount/second 0
2014/09/25 16:36:04 msgCount/second 0
2014/09/25 16:36:05 msgCount/second 0
2014/09/25 16:36:06 msgCount/second 0
2014/09/25 16:36:07 comm: websocket receive error: EOF

2014/09/25 16:36:07 comm: websocket receive error: EOF

2014/09/25 16:36:07 msgCount/second 0
2014/09/25 16:36:08 msgCount/second 0
2014/09/25 16:36:09 msgCount/second 0
2014/09/25 16:36:10 msgCount/second 0
2014/09/25 16:36:11 msgCount/second 0
2014/09/25 16:36:12 server: new client
2014/09/25 16:36:12 server: new client
2014/09/25 16:36:12 msgCount/second 0
2014/09/25 16:36:13 msgCount/second 0
2014/09/25 16:36:14 msgCount/second 0
2014/09/25 16:36:15 msgCount/second 0
2014/09/25 16:36:16 msgCount/second 0
2014/09/25 16:36:17 msgCount/second 0
2014/09/25 16:36:18 msgCount/second 0
2014/09/25 16:36:19 msgCount/second 0
2014/09/25 16:36:20 msgCount/second 0
2014/09/25 16:36:21 msgCount/second 0
2014/09/25 16:36:22 msgCount/second 0
2014/09/25 16:36:23 msgCount/second 0
2014/09/25 16:36:24 msgCount/second 0
2014/09/25 16:36:25 msgCount/second 0
2014/09/25 16:36:26 msgCount/second 0
2014/09/25 16:36:27 msgCount/second 0
2014/09/25 16:36:28 msgCount/second 0
2014/09/25 16:36:29 msgCount/second 44
2014/09/25 16:36:30 msgCount/second 10
2014/09/25 16:36:31 msgCount/second 0
2014/09/25 16:36:32 msgCount/second 21
2014/09/25 16:36:33 msgCount/second 36
2014/09/25 16:36:34 msgCount/second 93
2014/09/25 16:36:35 msgCount/second 61
2014/09/25 16:36:36 msgCount/second 0
2014/09/25 16:36:37 msgCount/second 0
2014/09/25 16:36:38 msgCount/second 11
2014/09/25 16:36:39 msgCount/second 0
2014/09/25 16:36:40 msgCount/second 2
2014/09/25 16:36:41 msgCount/second 4
2014/09/25 16:36:42 msgCount/second 18
2014/09/25 16:36:43 msgCount/second 4
2014/09/25 16:36:44 msgCount/second 64
2014/09/25 16:36:45 msgCount/second 0
2014/09/25 16:36:46 msgCount/second 0
2014/09/25 16:36:47 msgCount/second 0
2014/09/25 16:36:48 msgCount/second 0
2014/09/25 16:36:49 msgCount/second 0
2014/09/25 16:36:50 msgCount/second 0
2014/09/25 16:36:51 msgCount/second 0
2014/09/25 16:36:52 msgCount/second 0
2014/09/25 16:36:53 msgCount/second 0
2014/09/25 16:36:54 msgCount/second 0
2014/09/25 16:36:55 msgCount/second 0
2014/09/25 16:36:56 msgCount/second 0
2014/09/25 16:36:57 msgCount/second 0
2014/09/25 16:36:58 msgCount/second 0
2014/09/25 16:36:59 msgCount/second 0
2014/09/25 16:37:00 msgCount/second 0
2014/09/25 16:37:01 msgCount/second 0
2014/09/25 16:37:02 comm: websocket receive error: EOF

2014/09/25 16:37:02 comm: websocket receive error: EOF

2014/09/25 16:37:02 msgCount/second 0
2014/09/25 16:37:03 msgCount/second 0
2014/09/25 16:37:04 msgCount/second 0
2014/09/25 16:37:05 msgCount/second 0
2014/09/25 16:37:06 msgCount/second 0
2014/09/25 16:37:07 msgCount/second 0
2014/09/25 16:37:08 msgCount/second 0
2014/09/25 16:37:09 msgCount/second 0
2014/09/25 16:37:10 msgCount/second 0
2014/09/25 16:37:11 msgCount/second 0
2014/09/25 16:37:12 msgCount/second 0
2014/09/25 16:37:13 msgCount/second 0
2014/09/25 16:37:14 msgCount/second 0
2014/09/25 16:37:15 msgCount/second 0
2014/09/25 16:37:16 msgCount/second 0
2014/09/25 16:37:17 msgCount/second 0
2014/09/25 16:37:18 msgCount/second 0
2014/09/25 16:37:19 msgCount/second 0
2014/09/25 16:37:20 msgCount/second 0
2014/09/25 16:37:21 msgCount/second 0
2014/09/25 16:37:22 msgCount/second 0
2014/09/25 16:37:23 msgCount/second 0
